SQLDATE,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,EventCode,GoldsteinScale,SOURCEURL
20260407,"Texas, United States",31.106,-97.6475,141,-6.5,https://www.dailymail.co.uk/news/article-15712629/plex-corporate-retreat-honduras.html
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.newsweek.com/republicans-could-lose-these-four-senate-seats-analyst-11790704
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.newsweek.com/republicans-could-lose-these-four-senate-seats-analyst-11790704
20260407,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.newsweek.com/republicans-could-lose-these-four-senate-seats-analyst-11790704
20260407,"Texas, United States",31.106,-97.6475,139,-7.0,http://www.newstomato.com/ReadNews.aspx?no=1297005
20260402,"Portland, Oregon, United States",45.5235,-122.676,141,-6.5,https://thyblackman.com/2026/04/02/no-kings-protests-america-economic-frustration-democracy/
20260403,"Amarillo, Texas, United States",35.222,-101.831,1383,-7.0,https://abc7amarillo.com/news/local/apd-responds-to-bomb-threat-at-rick-husband-international-airport
20260402,"Dallas, Texas, United States",32.7831,-96.8067,130,-4.4,https://thebeatdfw.com/4524746/hoax-school-shooting-call-sparks-chaos-in-north-dallas/
20260402,"Dallas, Texas, United States",32.7831,-96.8067,141,-6.5,https://www.webwire.com/ViewPressRel.asp?aId=352764
20260402,"Dallas, Texas, United States",32.7831,-96.8067,141,-6.5,https://www.manilatimes.net/2026/04/03/tmt-newswire/globenewswire/sabrina-kuykendall-introduces-the-blue-key-business-scholarship-to-support-ambitious-undergraduate-business-students-and-foster-future-industry-leaders/2313731
20260402,"Dallas, Texas, United States",32.7831,-96.8067,130,-4.4,https://afro.com/black-churches-easter-innovations/
20260402,"Dallas, Texas, United States",32.7831,-96.8067,130,-4.4,https://thegrio.com/2026/04/02/gucci-mane-named-as-victim-in-pooh-shiesty-robbery-and-kidnapping-case-in-dallas/
20260402,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://kdhnews.com/military/fort-hood-doctor-accused-of-recording-patients-files-motion-to-obtain-names-of-82-jane/article_aef4c5af-794d-4c1a-98a2-8a6a896088b2.html
20260403,"San Antonio, Texas, United States",29.4241,-98.4936,130,-4.4,https://www.kens5.com/article/news/local/san-antonio-texas-satx-easter-weekend-camping-spots-claimed-parks-curfew-lifted-april-2026/273-50acfb3a-e9b1-48f8-92a2-efe890f15712
20260402,"Madisonville, Texas, United States",30.9499,-95.9116,130,-4.4,https://www.kbtx.com/2026/04/02/flooding-reported-across-madison-county-roads-officials-urge-caution/
20260403,"Montgomery County, Texas, United States",30.3169,-95.4669,130,-4.4,https://www.fox26houston.com/news/woodlands-township-hopes-crack-down-e-devices-before-summer
20260402,"Calvary Baptist Church, Texas, United States",29.4022,-94.9024,130,-4.4,https://afro.com/black-churches-easter-innovations/
20260403,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.fox13now.com/news/local-news/southern-utah/is-the-new-shuttle-stop-in-virgin-really-making-the-trip-to-zion-easier
20260403,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.foxnews.com/entertainment/lindsey-buckinghams-alleged-stalker-speaks-out-after-fleetwood-mac-star-attacked-la
20260403,"Los Angeles, California, United States",34.0522,-118.244,141,-6.5,https://nypost.com/2026/04/02/us-news/no-kings-instigators-threw-bottles-at-police-horses-in-chaotic-los-angeles-protest/
20260403,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://manado.tribunnews.com/sulawesi-utara/1871036/peringatan-dini-bmkg-potensi-hujan-lebat-dan-petir-di-wilayah-sulawesi-utara-hingga-pukul-1530-wita
20260403,"Los Angeles, California, United States",34.0522,-118.244,141,-6.5,https://www.telemundo52.com/noticias/local/arrestan-menor-conexion-muerte-nina-acoso-escolar-reseda/2851432/
20260403,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.foxnews.com/entertainment/lindsey-buckinghams-alleged-stalker-speaks-out-after-fleetwood-mac-star-attacked-la
20260403,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://pagesix.com/2026/04/02/celebrity-news/william-shatner-slams-claims-hes-dying-of-cancer/
20260402,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.nbclosangeles.com/news/national-international/trump-frustrated-pam-bondi-firing/3870231/
20260402,"Alpena, Michigan, United States",45.0617,-83.4328,130,-4.4,https://www.thealpenanews.com/news/local-news/2026/04/national-weather-service-issues-ice-storm-warning-for-presque-isle-montmorency-alpena/
20260403,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.fox13now.com/news/local-news/southern-utah/is-the-new-shuttle-stop-in-virgin-really-making-the-trip-to-zion-easier
20260402,"Michigan, United States",43.3504,-84.5603,134,-5.8,https://chicago.suntimes.com/crime/2026/04/02/man-accused-of-making-bomb-threat-that-forced-chicago-bound-flight-to-land-in-michigan-feds-say
20260402,"Alpena, Michigan, United States",45.0617,-83.4328,130,-4.4,https://www.thealpenanews.com/news/local-news/2026/04/national-weather-service-issues-ice-storm-warning-for-presque-isle-montmorency-alpena/
20260403,"Texas, United States",31.106,-97.6475,141,-6.5,https://www.aol.co.uk/articles/canadian-woman-held-daughter-ice-035922377.html
20260403,"Texas, United States",31.106,-97.6475,130,-4.4,https://kvia.com/health/2026/04/02/health-officials-warn-texans-not-to-eat-great-value-dinosaur-shaped-chicken-nuggets/
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.breitbart.com/politics/2026/04/02/exclusive-rep-brandon-gill-the-senate-needs-serious-change-lets-start-by-electing-ken-paxton/
20260402,"Texas, United States",31.106,-97.6475,141,-6.5,https://verticalmag.com/careers/manufacturing-engineer-resource-planner-iii-mtc-1st-shift-3/
20260402,"Los Angeles, California, United States",34.0522,-118.244,130,-4.4,https://www.mendocinobeacon.com/2026/04/02/judicial-follies-making-fun-of-the-judge/
20260403,"Los Angeles, California, United States",34.0522,-118.244,141,-6.5,https://nypost.com/2026/04/02/us-news/no-kings-instigators-threw-bottles-at-police-horses-in-chaotic-los-angeles-protest/
20260402,"Los Angeles, California, United States",34.0522,-118.244,138,-7.0,https://www.nbclosangeles.com/news/national-international/trump-frustrated-pam-bondi-firing/3870231/
20260403,"Michigan, United States",43.3504,-84.5603,130,-4.4,https://www.fox13now.com/news/local-news/southern-utah/is-the-new-shuttle-stop-in-virgin-really-making-the-trip-to-zion-easier
20260402,"Michigan, United States",43.3504,-84.5603,138,-7.0,https://www.mediamatters.org/megyn-kelly/megyn-kelly-caller-donald-trumps-foreign-policy-complete-disaster
20260402,"Michigan, United States",43.3504,-84.5603,141,-6.5,https://www.naturalnews.com/2026-04-02-colorado-legislation-private-right-sue-conversion-therapy.html
20260402,"Portland, Oregon, United States",45.5235,-122.676,141,-6.5,https://thyblackman.com/2026/04/02/no-kings-protests-america-economic-frustration-democracy/
20260402,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://cen.acs.org/business/Iran-war-debilitate-petrochemicals-rest/104/web/2026/04
20260402,"Houston, Texas, United States",29.7633,-95.3633,130,-4.4,https://cen.acs.org/business/Iran-war-debilitate-petrochemicals-rest/104/web/2026/04
20260402,"Texas, United States",31.106,-97.6475,130,-4.4,https://www.aceshowbiz.com/news/view/00252045.html
20260402,"Brownwood, Texas, United States",30.1144,-93.7352,134,-5.8,https://ktxs.com/news/local/brownwood-man-arrested-after-allegedly-threatening-people-with-handgun
20260402,"Baptist Academy, Texas, United States",25.9065,-97.5025,130,-4.4,https://www.christianpost.com/news/pastor-warns-against-gossip-in-caring-for-victims.html
